schema_version,record_type,event_id,trace_id,run_id,occurred_at,generated_at_utc,domain,event_type,service.name,service.environment,service.instance_id,client.ip,client.user_agent,client.device_id,request.method,request.path,request.request_bytes,response.status_code,response.latency_ms,response.response_bytes,data.transaction_id,data.customer_id,data.account_id,data.channel,data.currency,data.risk_score,data.auth_method,data.login_result,data.amount,data.merchant_id,data.merchant_category,data.authorization_result,data.destination_bank,data.destination_account_token,data.transfer_result,data.balance
1.0,application_log,54033745-0bb7-4ef2-91cf-70c173cd2756,88db75656dae49c2bb0ff6e5678d1dd2,local-2482330003,2026-08-18T15:35:35.366+09:00,2026-08-18T06:35:35.366+00:00,finance,balance_inquiry,finance-api,simulation,sim-10,41.78.163.57,Mozilla/5.0 Chrome/151.0 Windows/10,4d6b9beea23c4354,GET,/api/accounts/balance,448,200.0,89,5911,txn_37c724daf9c846d199,cus_826259,acc_59768331,web,KRW,16.05,,,31000.0,,,,,,,8421000.0
1.0,application_log,484da413-0c38-41ca-86d2-5be52fad8e59,430c169a004c4517ace6109c6dfbe418,local-2482330003,2026-08-18T15:35:35.754+09:00,2026-08-18T06:35:35.754+00:00,finance,balance_inquiry,finance-api,simulation,sim-09,202.119.236.92,Mozilla/5.0 Chrome/151.0 Windows/10,28765e3cbdca4033,GET,/api/accounts/balance,643,200.0,228,4723,txn_60780403d4fc4bfd8e,cus_554832,acc_69139081,open_api,KRW,13.14,,,1339000.0,,,,,,,41130000.0
1.0,application_log,cf3bc19a-b5d9-4a8b-b5ad-f86a143212fb,a664245907174b269aec6b7d27bfbbd1,local-2482330003,2026-08-18T15:35:35.934+09:00,2026-08-18T06:35:35.934+00:00,finance,deposit,finance-api,simulation,sim-17,152.40.143.73,Mozilla/5.0 Chrome/151.0 Android/15,5a2ac6210acb48a2,POST,/api/deposits,3176,204.0,109,10486,txn_3f3601feca844feb9e,cus_123391,acc_10702090,web,KRW,10.28,,,754000.0,,,,,,,
1.0,application_log,98d24d1d-779f-49ce-8bd0-f0ec73c79c7c,62617fea398d4fb0b5894b5fec78351f,local-2482330003,2026-08-18T15:35:35.966+09:00,2026-08-18T06:35:35.966+00:00,finance,transfer,finance-api,simulation,sim-11,85.154.165.29,WhitelabelApp/4.8.1 iOS,2a46be74f21a4bae,POST,/api/transfers,4757,200.0,198,5908,txn_768e0d2c8d56482680,cus_549293,acc_12880631,open_api,KRW,16.56,,,1046000.0,,,,BANK-B,dd23be9164ec4e,completed,
1.0,application_log,9e5c06cd-3034-4bd4-a89f-dd31906083cd,8bbcf22d1d8c4872b42f07be93b61ddc,local-2482330003,2026-08-18T15:35:36.014+09:00,2026-08-18T06:35:36.014+00:00,finance,transfer,finance-api,simulation,sim-03,83.214.65.106,WhitelabelApp/4.8.1 iOS,aced94d252f945aa,POST,/api/transfers,1370,200.0,359,12864,txn_4fe1ecb8a5c14a25ba,cus_156792,acc_79692041,web,KRW,13.17,,,767000.0,,,,BANK-B,7280d71332e148,completed,
1.0,application_log,39ae2f8c-5933-4369-88a6-53a1524813fb,ff4c2f06ea194d63b5ffdda7bba76865,local-2482330003,2026-08-18T15:35:36.043+09:00,2026-08-18T06:35:36.043+00:00,finance,card_payment,finance-api,simulation,sim-04,171.58.177.186,Mozilla/5.0 Chrome/151.0 Android/15,3bbe3c81d7be470a,POST,/api/cards/payments,1608,201.0,165,8099,txn_e1391c5fad2848bdb2,cus_494896,acc_11135883,atm,KRW,8.41,,,488000.0,mrc_49495,restaurant,approved,,,,
1.0,application_log,50dd39db-c521-4330-bb01-221f54e7f127,0890e52859d244ef9999b11594eab2ff,local-2482330003,2026-08-18T15:35:36.162+09:00,2026-08-18T06:35:36.162+00:00,finance,balance_inquiry,finance-api,simulation,sim-02,183.248.235.69,Mozilla/5.0 Chrome/151.0 Windows/10,7bdb745ee3ad4617,GET,/api/accounts/balance,675,200.0,165,10219,txn_abfe8d287b284023ae,cus_538552,acc_27370031,web,KRW,27.09,,,597000.0,,,,,,,27434000.0
1.0,application_log,b299b36b-84f9-4f62-8bc0-e8ae41f242cc,cfdd85bd02074456be084dc4a190e152,local-2482330003,2026-08-18T15:35:36.226+09:00,2026-08-18T06:35:36.226+00:00,finance,account_login,finance-api,simulation,sim-12,66.161.106.209,Mozilla/5.0 Chrome/151.0 Android/15,17fbc277ff96473e,POST,/api/auth/login,4231,202.0,119,5597,txn_9abae07e1dbe4004ba,cus_286230,acc_38676540,web,KRW,24.44,biometric,success,,,,,,,,
1.0,application_log,a3e55ec5-be18-44d4-b715-50ca0d9eb6bd,6fdea61ac3434e17ad1e867794e6a735,local-2482330003,2026-08-18T15:35:36.512+09:00,2026-08-18T06:35:36.512+00:00,finance,transfer,finance-api,simulation,sim-06,201.241.190.205,Mozilla/5.0 Chrome/151.0 Android/15,c46ad60518064381,POST,/api/transfers,1630,201.0,164,11304,txn_f4561a91d11e4c99a5,cus_269891,acc_70699525,atm,KRW,7.29,,,1130000.0,,,,BANK-B,22e310530bcd43,completed,
1.0,application_log,5d8f01f6-10b2-4c5c-bd35-39ff02981d1f,e5b01780bab747b481b28b7b37ca1e27,local-2482330003,2026-08-18T15:35:36.566+09:00,2026-08-18T06:35:36.566+00:00,finance,card_payment,finance-api,simulation,sim-11,203.230.166.140,Mozilla/5.0 Chrome/151.0 Windows/10,3d50e81750774e55,POST,/api/cards/payments,4278,201.0,213,10128,txn_fca9b7e48cc74cc39b,cus_816343,acc_60504799,open_api,KRW,11.62,,,1153000.0,mrc_48481,subscription,approved,,,,
1.0,application_log,214ef7d0-96ab-43b7-a4e2-470ebd174696,2a7e254967d54fb3b556b037b6442940,local-2482330003,2026-08-18T15:35:36.586+09:00,2026-08-18T06:35:36.586+00:00,finance,withdrawal,finance-api,simulation,sim-10,16.127.62.223,Mozilla/5.0 Chrome/151.0 Android/15,d77fa90efd234fc9,POST,/api/withdrawals,1756,202.0,465,6891,txn_9c615b0cd0b24a76bb,cus_365532,acc_31978973,mobile,KRW,24.71,,,1193000.0,,,,,,,
1.0,application_log,f7c3b344-f082-42aa-ac95-a65ba96d7fde,ce8e813bc79346d29fec303a331bbc0f,local-2482330003,2026-08-18T15:35:36.874+09:00,2026-08-18T06:35:36.874+00:00,finance,deposit,finance-api,simulation,sim-14,123.124.9.199,WhitelabelApp/4.8.1 iOS,9d5cccf42da846e0,POST,/api/deposits,4439,201.0,77,3433,txn_4ac62fb5f0794a628f,cus_745274,acc_37995965,open_api,KRW,16.2,,,271000.0,,,,,,,
1.0,application_log,358c7885-2f99-4b9f-8a83-f41becbc0bbb,8fbe1f87438c4aa6806f615278d6cf39,local-2482330003,2026-08-18T15:35:36.896+09:00,2026-08-18T06:35:36.896+00:00,finance,transfer,finance-api,simulation,sim-22,16.161.230.255,Mozilla/5.0 Chrome/151.0 Windows/10,114f99b4eaa74552,POST,/api/transfers,2710,200.0,355,12971,txn_cce5e18023c44375ba,cus_310115,acc_31850464,web,KRW,16.87,,,688000.0,,,,BANK-A,2330b2914ad448,completed,
1.0,application_log,be0b77d8-dcb5-42ee-939e-94f6da621dc7,0a0e72bd335a46d6a52caccdd47152e0,local-2482330003,2026-08-18T15:35:36.936+09:00,2026-08-18T06:35:36.936+00:00,finance,withdrawal,finance-api,simulation,sim-21,148.64.177.90,WhitelabelApp/4.8.1 Android,b865d68f91cc4030,POST,/api/withdrawals,1287,200.0,147,3492,txn_098cfeb2ac524cd185,cus_998204,acc_26510618,mobile,KRW,40.73,,,172000.0,,,,,,,
1.0,application_log,0ce3b573-3610-47b3-a060-9e3d89968f09,d44ebbf0502b4c6f903e7589f42654ec,local-2482330003,2026-08-18T15:35:36.959+09:00,2026-08-18T06:35:36.959+00:00,finance,balance_inquiry,finance-api,simulation,sim-01,184.208.111.42,WhitelabelApp/4.8.1 iOS,36d9187445184695,GET,/api/accounts/balance,733,200.0,192,17479,txn_1bb40236b050465394,cus_144673,acc_32582823,web,KRW,33.72,,,1281000.0,,,,,,,4867000.0
1.0,application_log,f6e48096-7c3f-4770-936d-c457ac30d5bd,acd0c7d68ab54a8187dced7d335cf227,local-2482330003,2026-08-18T15:35:36.971+09:00,2026-08-18T06:35:36.971+00:00,finance,card_payment,finance-api,simulation,sim-03,156.32.70.78,WhitelabelApp/4.8.1 Android,9308e8c9c45f4be0,POST,/api/cards/payments,3038,201.0,194,12811,txn_1b4ce0fbd4584b099b,cus_912035,acc_40797028,web,KRW,43.98,,,31000.0,mrc_27931,travel,approved,,,,
1.0,application_log,2ef80428-6861-441d-a9a2-26dd9e895e98,e96136f5c5ba4fdab8666a82d8f4d082,local-2482330003,2026-08-18T15:35:36.994+09:00,2026-08-18T06:35:36.994+00:00,finance,deposit,finance-api,simulation,sim-23,3.53.16.25,Mozilla/5.0 Chrome/151.0 Windows/10,7761892a6f6c48e4,POST,/api/deposits,4128,200.0,427,13646,txn_1b34c6fe38484881b0,cus_561784,acc_47041653,open_api,KRW,16.32,,,1456000.0,,,,,,,
1.0,application_log,5d07b55d-a0c9-4e6e-a40f-eec43238b500,aa6738fb6edc496a9c11dbaa4e0d5263,local-2482330003,2026-08-18T15:35:37.053+09:00,2026-08-18T06:35:37.053+00:00,finance,balance_inquiry,finance-api,simulation,sim-06,202.114.99.23,Mozilla/5.0 Chrome/151.0 Windows/10,a2c56854fc2b44f2,GET,/api/accounts/balance,786,404.0,42,757,txn_cf7e76a5abbf470db2,cus_170044,acc_30639312,atm,KRW,27.73,,,1135000.0,,,,,,,20446000.0
1.0,application_log,d5f68376-adcd-4f6c-b196-9a08b3bfc13a,7cf15958834f4b878eec23f005e260f4,local-2482330003,2026-08-18T15:35:37.254+09:00,2026-08-18T06:35:37.254+00:00,finance,balance_inquiry,finance-api,simulation,sim-10,56.148.188.6,WhitelabelApp/4.8.1 Android,d81c784848e04608,GET,/api/accounts/balance,317,200.0,92,1342,txn_70d08b91309847d891,cus_515273,acc_79529357,web,KRW,14.24,,,612000.0,,,,,,,11321000.0
1.0,application_log,601f6922-384b-44b3-96c4-96125309eec5,24daea0e98b743df8a279dbe152e5e39,local-2482330003,2026-08-18T15:35:37.257+09:00,2026-08-18T06:35:37.257+00:00,finance,account_login,finance-api,simulation,sim-20,43.59.107.156,Mozilla/5.0 Chrome/151.0 Windows/10,2c5732be538e40b5,POST,/api/auth/login,537,200.0,101,2729,txn_760ca38607f64f41a8,cus_717717,acc_24339329,open_api,KRW,15.71,password,success,,,,,,,,
1.0,application_log,0d06fabc-8dec-43bd-ad33-512417151fba,a0448cc36742443eae78edc68e13cea0,local-2482330003,2026-08-18T15:35:37.601+09:00,2026-08-18T06:35:37.601+00:00,finance,balance_inquiry,finance-api,simulation,sim-19,211.155.31.101,WhitelabelApp/4.8.1 Android,95dbbd6deaf64135,GET,/api/accounts/balance,491,200.0,119,14716,txn_65f62008aeb1491ea3,cus_484730,acc_37566787,web,KRW,27.64,,,391000.0,,,,,,,43592000.0
1.0,application_log,70faf40b-7481-4267-a7c2-e4347819b428,1a91aaeb8f41429eb14a95c71ed00aa6,local-2482330003,2026-08-18T15:35:37.857+09:00,2026-08-18T06:35:37.857+00:00,finance,balance_inquiry,finance-api,simulation,sim-03,212.0.72.68,Mozilla/5.0 Chrome/151.0 Windows/10,615215e0c31c4309,GET,/api/accounts/balance,281,200.0,81,13313,txn_449e4b28d86c49e8a9,cus_258440,acc_36936421,mobile,KRW,20.13,,,1056000.0,,,,,,,4790000.0
1.0,application_log,1b749307-2961-42a8-84b9-ee44ab1f0540,5df4e0aba6cc48ce8ffd08bcfe709915,local-2482330003,2026-08-18T15:35:38.221+09:00,2026-08-18T06:35:38.221+00:00,finance,card_payment,finance-api,simulation,sim-15,173.98.98.6,Mozilla/5.0 Chrome/151.0 Android/15,cb354613ceaa4c8e,POST,/api/cards/payments,3021,201.0,80,868,txn_9adab5932f7a4981a9,cus_750968,acc_73105885,atm,KRW,14.34,,,1203000.0,mrc_79730,restaurant,approved,,,,
1.0,application_log,be91ba2f-395f-4f71-ad24-8e21eb5e03f7,ddf3e4cb9fae42ee99879454628e8ec0,local-2482330003,2026-08-18T15:35:38.592+09:00,2026-08-18T06:35:38.592+00:00,finance,card_payment,finance-api,simulation,sim-08,49.107.95.185,Mozilla/5.0 Chrome/151.0 Windows/10,70c37d07003d4a3e,POST,/api/cards/payments,4356,201.0,279,17875,txn_d41a7a36bb764d4687,cus_459928,acc_66817474,web,KRW,20.64,,,57000.0,mrc_17598,transport,approved,,,,
1.0,application_log,1c82a179-d56b-4bcb-b93a-bb319113f0c4,2bcae34ddece46308ba2a9e839848862,local-2482330003,2026-08-18T15:35:38.623+09:00,2026-08-18T06:35:38.623+00:00,finance,card_payment,finance-api,simulation,sim-08,201.33.140.0,Mozilla/5.0 Chrome/151.0 Windows/10,61be24bd0a7a4a58,POST,/api/cards/payments,194,200.0,433,11816,txn_1244a3dae4f74dc9b4,cus_946206,acc_76133929,web,KRW,4.16,,,272000.0,mrc_20620,travel,approved,,,,
1.0,application_log,,7146549c34f040d6bd06eb6d0bb0b2ec,local-2482330003,2026-08-18T15:35:38.651+09:00,2026-08-18T06:35:38.651+00:00,finance,deposit,finance-api,simulation,sim-24,99.249.60.137,Mozilla/5.0 Chrome/151.0 Android/15,aa04b80b14fb4d94,POST,/api/deposits,3647,201.0,85,4972,txn_62589790fdab4cafb3,cus_820914,acc_86481140,mobile,KRW,11.12,,,444000.0,,,,,,,
1.0,application_log,ca419a9b-a8bb-4f1d-9229-58bf62ece794,4d8a4266ac8049e3b7f1122576f8f39a,local-2482330003,2026-08-18T15:35:38.976+09:00,2026-08-18T06:35:38.976+00:00,finance,transfer,finance-api,simulation,sim-11,100.246.227.48,Mozilla/5.0 Chrome/151.0 Windows/10,708a4b23abbb47d9,POST,/api/transfers,3696,200.0,687,8222,txn_c8605bf1efb24c2288,cus_758968,acc_90337128,atm,KRW,9.3,,,1443000.0,,,,BANK-A,525ea8f6cdb74f,completed,
1.0,application_log,d3515a45-1b8a-492c-ba05-841e1fc25b8f,69080f5da9bd4f2d92516ce84a9ad4d5,local-2482330003,2026-08-18T15:35:39.092+09:00,2026-08-18T06:35:39.092+00:00,finance,balance_inquiry,finance-api,simulation,sim-02,120.168.18.42,WhitelabelApp/4.8.1 Android,4995ed3e94e24939,GET,/api/accounts/balance,274,200.0,97,229,txn_c42b7308f23a4e0e84,cus_231575,acc_37414202,web,KRW,6.46,,,1295000.0,,,,,,,4170000.0
1.0,application_log,03725163-91ab-4d33-9bef-013d5cb585e0,08345a2da25d4575ae3e19176ba57d3d,local-2482330003,2026-08-18T15:35:39.284+09:00,2026-08-18T06:35:39.284+00:00,finance,card_payment,finance-api,simulation,sim-15,24.56.234.56,Mozilla/5.0 Safari/605.1 iPhone,16442992716447c5,POST,/api/cards/payments,1271,200.0,113,6461,txn_88ad6b2b92e2472ebb,cus_585810,acc_99132183,atm,KRW,10.03,,,657000.0,mrc_55873,transport,approved,,,,
1.0,application_log,eb6700d8-01ae-4757-aaec-da945664328f,7b1556c9fdcf4887a4ce13f16c55ca0e,local-2482330003,2026-08-18T15:35:39.312+09:00,2026-08-18T06:35:39.312+00:00,finance,withdrawal,finance-api,simulation,sim-20,153.98.205.65,Mozilla/5.0 Chrome/151.0 Windows/10,71853f1a6a8a4edb,POST,/api/withdrawals,3250,202.0,197,5849,txn_e5f52b34f6b5465981,cus_874924,acc_20553562,atm,KRW,7.18,,,1311000.0,,,,,,,
1.0,application_log,52798183-12d3-4be4-a025-8914354f51fe,07a63cb5a62d4e5daecf4ae0935e09c7,local-2482330003,2026-08-18T15:35:39.314+09:00,2026-08-18T06:35:39.314+00:00,finance,card_payment,finance-api,simulation,sim-15,16.4.77.175,Mozilla/5.0 Chrome/151.0 Android/15,e8533f8b8fb24e0f,POST,/api/cards/payments,1304,200.0,169,11360,txn_dcebc322ea324ddd9c,cus_322096,acc_98690468,open_api,KRW,9.43,,,1450000.0,mrc_10347,grocery,approved,,,,
1.0,application_log,5842966a-4a91-43f8-a8ce-f1edf860d5b2,a9cbaa0caf4546ecb5817b26bc6ddab7,local-2482330003,2026-08-18T15:35:39.441+09:00,2026-08-18T06:35:39.441+00:00,finance,transfer,finance-api,simulation,sim-21,201.88.197.188,WhitelabelApp/4.8.1 iOS,562f41c544ed41ec,POST,/api/transfers,3178,200.0,331,2770,txn_98e07d89cfa042278a,cus_902117,acc_36070796,web,KRW,22.54,,,590000.0,,,,BANK-D,3b869cdcf8d040,completed,
1.0,application_log,39d6a1dd-c59e-4892-89c6-077309d6b324,5cec2e6b19dd4126bf1a8f50735c49f1,local-2482330003,2026-08-18T15:35:39.641+09:00,2026-08-18T06:35:39.641+00:00,finance,account_login,finance-api,simulation,sim-01,29.188.76.33,WhitelabelApp/4.8.1 Android,eb2c4d8004654bc4,POST,/api/auth/login,2895,200.0,163,12046,txn_542099ecaa66473f90,cus_815768,acc_24215165,open_api,KRW,1.28,biometric,success,,,,,,,,
1.0,application_log,48857a76-9ee8-44e3-97fa-344432497bf5,7400439d07a540efa93ce00ba856bd66,local-2482330003,2026-08-18T15:35:39.942+09:00,2026-08-18T06:35:39.942+00:00,finance,transfer,finance-api,simulation,sim-15,77.78.132.216,Mozilla/5.0 Chrome/151.0 Windows/10,aa7e08231c1148a3,POST,/api/transfers,3845,200.0,306,9144,txn_548006d1b248428e95,cus_856175,acc_34565120,open_api,KRW,18.5,,,271000.0,,,,BANK-C,9f1433298e8042,completed,
1.0,application_log,4aeab54f-9746-4f34-8864-393cb5f17f7c,90f598eddbf34054bcc98ba54331019b,local-2482330003,2026-08-18T15:35:40.009+09:00,2026-08-18T06:35:40.009+00:00,finance,account_login,finance-api,simulation,sim-18,137.35.92.120,Mozilla/5.0 Chrome/151.0 Android/15,bc2bd1008bc14f7f,POST,/api/auth/login,2018,201.0,336,15352,txn_008aa09161ac469baa,cus_816992,acc_41409642,open_api,KRW,6.54,biometric,success,,,,,,,,
1.0,application_log,dbeafa04-817f-4058-adc3-f11f4925814f,7986389e189c4cfa9a7682fd1f9726ba,local-2482330003,2026-08-18T15:35:40.987+09:00,2026-08-18T06:35:40.987+00:00,finance,account_login,finance-api,simulation,sim-14,48.29.164.250,Mozilla/5.0 Chrome/151.0 Windows/10,bb7e653e6dc94ccb,POST,/api/auth/login,4718,200.0,173,7229,txn_ccc8e78805fb4c6183,cus_883853,acc_77813337,web,KRW,7.38,biometric,success,,,,,,,,
1.0,application_log,5ae483b8-1afd-4ecc-9800-e961cdcb43df,72236f9e85044fc8a5c0b4d047515cdb,local-2482330003,2026-08-18T15:35:41.152+09:00,2026-08-18T06:35:41.152+00:00,finance,transfer,finance-api,simulation,sim-15,178.155.103.125,Mozilla/5.0 Safari/605.1 iPhone,67918be2a8704b62,POST,/api/transfers,4060,202.0,199,1156,txn_ba39ca4831034c3ba9,cus_449885,acc_60780126,open_api,KRW,5.19,,,427000.0,,,,BANK-D,70e53051ec0044,completed,
1.0,application_log,b39fcacd-76fd-4db0-a95e-ba88f28cdef9,9eaba615db654361a5d7a9b0b22e33c7,local-2482330003,2026-08-18T15:35:41.168+09:00,2026-08-18T06:35:41.168+00:00,finance,account_login,finance-api,simulation,sim-14,187.241.131.223,Mozilla/5.0 Chrome/151.0 Windows/10,025c93e06f314cb8,POST,/api/auth/login,4168,200.0,143,16294,txn_3ee80384839246e68d,cus_107471,acc_37650561,mobile,KRW,12.07,otp,success,,,,,,,,
1.0,application_log,efee6309-8bbf-4c76-a16f-2f494fec7c69,b90a69c2ff3b4ae18e05103c8dc4f12f,local-2482330003,2026-08-18T15:35:41.188+09:00,2026-08-18T06:35:41.188+00:00,finance,card_payment,finance-api,simulation,sim-04,37.113.164.48,WhitelabelApp/4.8.1 Android,0cf774f1b9a84435,POST,/api/cards/payments,2269,204.0,177,9216,txn_e5cc30a6feca4156a3,cus_207652,acc_70979188,mobile,KRW,2.69,,,116000.0,mrc_13430,restaurant,approved,,,,
1.0,application_log,7923c6c2-23c8-40f5-b0ac-eac34805b470,5835521c830f40af83cb36bb9782a498,local-2482330003,2026-08-18T15:35:41.191+09:00,2026-08-18T06:35:41.191+00:00,finance,account_login,finance-api,simulation,sim-08,220.178.77.186,WhitelabelApp/4.8.1 Android,e1fecd601d394206,POST,/api/auth/login,1775,201.0,149,17659,txn_402f1c17519c45899e,cus_815148,acc_48828902,atm,KRW,2.86,biometric,success,,,,,,,,
1.0,application_log,2055bfa0-1005-4273-9bf0-77bbeb08680e,a85868dade1447f4b0716d8d6acc934e,local-2482330003,2026-08-18T15:35:41.290+09:00,2026-08-18T06:35:41.290+00:00,finance,card_payment,finance-api,simulation,sim-24,191.48.71.28,Mozilla/5.0 Chrome/151.0 Android/15,a534b28dc9044c01,POST,/api/cards/payments,3098,202.0,169,5570,txn_67d5d050ab2a438fa1,cus_659946,acc_22077067,atm,KRW,9.41,,,725000.0,mrc_11081,travel,approved,,,,
1.0,application_log,bf7a9091-831c-493c-a703-01cc6c9fbdc5,1b59e5544531407d85e2c5ef28bd4d56,local-2482330003,2026-08-18T15:35:41.370+09:00,2026-08-18T06:35:41.370+00:00,finance,withdrawal,finance-api,simulation,sim-03,155.35.240.12,Mozilla/5.0 Chrome/151.0 Android/15,37f7f0a0885d4a88,POST,/api/withdrawals,2040,201.0,369,13932,txn_24290865f04e46fc8f,cus_110675,acc_38091015,atm,KRW,5.67,,,1396000.0,,,,,,,
1.0,application_log,31988424-6f4a-4fe7-879b-ba8841444c67,58e92474d1054520a5b7572afdf7fad5,local-2482330003,2026-08-18T15:35:41.487+09:00,2026-08-18T06:35:41.487+00:00,finance,balance_inquiry,finance-api,simulation,sim-02,3.113.234.119,Mozilla/5.0 Chrome/151.0 Windows/10,200a3fe8c31b4280,GET,/api/accounts/balance,188,200.0,128,1388,txn_b3c3b971eb9c4d95b6,cus_619340,acc_30979713,mobile,KRW,11.27,,,933000.0,,,,,,,2905000.0
1.0,application_log,bbfcbbc5-a9c4-4f97-a6ef-55efd32a7d98,949f9b997c214acca32eedda215deff1,local-2482330003,2026-08-18T15:35:41.569+09:00,2026-08-18T06:35:41.569+00:00,finance,card_payment,finance-api,simulation,sim-05,184.90.66.0,Mozilla/5.0 Safari/605.1 iPhone,00de3ff1ed814803,POST,/api/cards/payments,1792,200.0,187,5291,txn_b1afbf0bbb9547f5b0,cus_930455,acc_94180614,open_api,KRW,23.72,,,198000.0,mrc_57631,shopping,approved,,,,
